dataset	DatasetLink	study_group	species	technology	life_state	tissue	genome	n_total_cells	n_major_cell_types	n_cell_types	conditions	cell_metadata	sample_metadata	fragment_files	snap_files	n_dataset_peaks	peaks	peak_size	per_group_peaks	peak_source	peak_adata	gene_adata
Zhang2021Cell	Catlas	BodyMap	Human	snATAC	Adult	Whole Body	hg38	615,998	111	111	NA	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/Zhang2021Cell.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/Cell_metadata.adult_only.csv.gz	gs://hms-hanqing-archive/atac_fragments/Zhang2021Cell	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/fragment_h5ad	1149184	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/cCRE_hg38.bed	500	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/Peaks/cell_type.peak_dfs.dict.joblib.gz	From publication	/large_storage/zhoulab/hanliu/wmb/Zhang2021Cell/peak_adata	NA
HumanBodyDev	Zenodo	BodyMap	Human	SHARE seq	Dev	Whole Body	hg38	817,740	37	203	12	/scratch/zhoulab/hanliu/HDMA/metadata_and_analysis/HDMA.cell_metadata.feather	/scratch/zhoulab/hanliu/HDMA/metadata_and_analysis/sample_metadata.txt	gs://hms-hanqing-archive/atac_fragments/HumanBodyDev	/scratch/zhoulab/hanliu/HDMA/snap	1031609	/scratch/zhoulab/hanliu/HDMA/peaks/HumanBodyDev.peak_500bp.bed	500	/scratch/zhoulab/hanliu/HDMA/peaks/HumanBodyDev.peak_by_group.feather	From publication	/scratch/zhoulab/hanliu/HDMA/peak_adata	/scratch/zhoulab/hanliu/HDMA/matrix/HDMA.RNA.raw_counts.h5ad
MultiSpeciesMouse	4DN Portal	Evolution	Mouse	10X Multiome	Adult	MOp	mm10	47,404	20	20	NA	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesM1	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/fragments	639919	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.mouse.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.mouse.macs3_peaks.joblib.gz	snapatac2.macs3 on subclass	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/peak_adata/mouse	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/rna/mouse.rna_raw_counts.h5ad
MultiSpeciesHuman	4DN Portal	Evolution	Human	10X Multiome	Adult	M1	hg38	40,937	20	20	NA	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesM1	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/fragments	688239	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.human.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.human.macs3_peaks.joblib.gz	snapatac2.macs3 on subclass	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/peak_adata/human	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/rna/human.rna_raw_counts.h5ad
MultiSpeciesMacaque	4DN Portal	Evolution	Macaque	10X Multiome	Adult	M1	rheMac10	34,773	20	20	NA	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesM1	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/fragments	597659	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.macaque.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.macaque.macs3_peaks.joblib.gz	snapatac2.macs3 on subclass	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/peak_adata/macaque	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/rna/macaque.rna_raw_counts.h5ad
MultiSpeciesMarmoset	4DN Portal	Evolution	Marmoset	10X Multiome	Adult	M1	calJac4	34,310	20	20	NA	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpecies.cell_metadata.feather	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesM1	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/fragments	620612	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.marmoset.peaks.bed	500	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/MultiSpeciesM1.marmoset.macs3_peaks.joblib.gz	snapatac2.macs3 on subclass	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/peak_adata/marmoset	/large_storage/zhoulab/hanliu/wmb/MultiSpeciesM1/rna/marmoset.rna_raw_counts.h5ad
HMBABasalGangliaHuman	BICAN	Evolution	Human	10X Multiome	Adult	Basal Ganglia	hg38	1,034,819	12	36	19	/scratch/zhoulab/hanliu/HMBA/human/annotation/Human.cell_metadata.feather	/scratch/zhoulab/hanliu/HMBA/human/annotation/Human.cell_metadata.feather	Not saved download snap from AWS from data portal	/scratch/zhoulab/hanliu/HMBA/human/snap	1354545	/scratch/zhoulab/hanliu/HMBA/human/peaks/Human.peak_500.bed	500	/scratch/zhoulab/hanliu/HMBA/human/peaks/HMBABasalGangliaHuman.group_by_peak.feather	From publication	/scratch/zhoulab/hanliu/HMBA/human/peak_adata	/scratch/zhoulab/hanliu/HMBA/human/Human_HMBA_basalganglia_AIT_pre-print.raw_count.h5ad
HMBABasalGangliaMacaque	BICAN	Evolution	Macaque	10X Multiome	Adult	Basal Ganglia	rheMac10	548,281	12	34	16	/scratch/zhoulab/hanliu/HMBA/macaque/annotation/Macaque.cell_metadata.feather	/scratch/zhoulab/hanliu/HMBA/macaque/annotation/Macaque.cell_metadata.feather	Not saved download snap from AWS from data portal	/scratch/zhoulab/hanliu/HMBA/macaque/snap	1374711	/scratch/zhoulab/hanliu/HMBA/macaque/peaks/Macaque.peak_500.bed	500	/scratch/zhoulab/hanliu/HMBA/macaque/peaks/HMBABasalGangliaMacaque.group_by_peak.feather	From publication	/scratch/zhoulab/hanliu/HMBA/macaque/peak_adata	/scratch/zhoulab/hanliu/HMBA/macaque/Macaque_HMBA_basalganglia_AIT_pre-print.raw_count.h5ad
HMBABasalGangliaMarmoset	BICAN	Evolution	Marmoset	10X Multiome	Adult	Basal Ganglia	mCalJac1.pat.X	313,033	12	35	1	/scratch/zhoulab/hanliu/HMBA/marmoset/annotation/Marmoset.cell_metadata.feather	/scratch/zhoulab/hanliu/HMBA/marmoset/annotation/Marmoset.cell_metadata.feather	Not saved download snap from AWS from data portal	/scratch/zhoulab/hanliu/HMBA/marmoset/snap	1226278	/scratch/zhoulab/hanliu/HMBA/marmoset/peaks/Marmoset.peak_500.bed	500	/scratch/zhoulab/hanliu/HMBA/marmoset/peaks/HMBABasalGangliaMarmoset.group_by_peak.feather	From publication	/scratch/zhoulab/hanliu/HMBA/marmoset/peak_adata	/scratch/zhoulab/hanliu/HMBA/marmoset/Marmoset_HMBA_basalganglia_AIT_pre-print.raw_count.h5ad
CBDevEvoHuman	PaperPortal	Evolution	Human	10X snATAC	Dev	CB	hg38	109,377	20	64	10	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/human.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	475454	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/human.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/human.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/human	NA
CBDevEvoMacaque	PaperPortal	Evolution	Macaque	10X Multiome	Dev	CB	rheMac10	17,460	15	36	2	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/macaque.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	262872	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/macaque.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/macaque.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/macaque	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/rna/macaque.rna.raw_counts.h5ad
CBDevEvoMarmoset	PaperPortal	Evolution	Marmoset	10X Multiome	Dev	CB	calJac4	76,508	21	65	10	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/marmoset.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	525133	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/marmoset.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/marmoset.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/marmoset	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/rna/marmoset.rna.raw_counts.h5ad
CBDevEvoMouse	PaperPortal	Evolution	Mouse	10X snATAC	Dev	CB	mm10	105,306	20	70	11	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/mouse.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	634135	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/mouse.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/mouse.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/mouse	NA
CBDevEvoBonobo	PaperPortal	Evolution	Bonobo	10X Multiome	Dev	CB	panPan3	17,084	9	18	2	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/bonobo.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	169857	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/bonobo.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/bonobo.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/bonobo	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/rna/bonobo.rna.raw_counts.h5ad
CBDevEvoOpossum	PaperPortal	Evolution	Opossum	10X snATAC	Dev	CB	monDom5.split	20,643	15	38	2	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/cell_metadata/opossum.cell_metadata.feather	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/sample_and_library_metadata.txt	gs://hms-hanqing-archive/atac_fragments/MultiSpeciesCBDev	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/snap	431374	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/opossum.peaks.bed	500	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peaks/opossum.peak_by_group.feather	snapatac2.macs3 on dev_state	/scratch/zhoulab/hanliu/MultiSpeciesCBDev/peak_adata/opossum	NA
MouseBodyAtlas	GSE284189	BodyMap	Mouse	UUATAC	Adult	Whole Body	mm10	472,853	59	109	25	/scratch/zhoulab/hanliu/UUATAC/metadata/Mouse.cell_metadata.feather	/scratch/zhoulab/hanliu/UUATAC/metadata/Mouse.cell_metadata.feather	Not saved, downloaded from GEO	/scratch/zhoulab/hanliu/UUATAC/snap/mouse	2154178	/scratch/zhoulab/hanliu/UUATAC/peaks/mouse.peaks.bed	500	/scratch/zhoulab/hanliu/UUATAC/peaks/mouse.peak_by_group.feather	snapatac2.macs3 on subclass	/scratch/zhoulab/hanliu/UUATAC/peak_adata	NA
