DatasetKey	Source	QTLType	TissueORCellType	SuSiEPIPFilter	PvalFilter	GeneSel	FilePath
GTEx.Muscle_Skeletal.protein_coding	GTEx	eQTL	Muscle_Skeletal	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Muscle_Skeletal.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Nerve_Tibial.all_gene	GTEx	eQTL	Nerve_Tibial	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Nerve_Tibial.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Nerve_Tibial.protein_coding	GTEx	eQTL	Nerve_Tibial	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Nerve_Tibial.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Ovary.all_gene	GTEx	eQTL	Ovary	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Ovary.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Ovary.protein_coding	GTEx	eQTL	Ovary	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Ovary.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Pancreas.all_gene	GTEx	eQTL	Pancreas	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Pancreas.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Pancreas.protein_coding	GTEx	eQTL	Pancreas	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Pancreas.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Pituitary.all_gene	GTEx	eQTL	Pituitary	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Pituitary.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Pituitary.protein_coding	GTEx	eQTL	Pituitary	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Pituitary.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Prostate.all_gene	GTEx	eQTL	Prostate	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Prostate.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Prostate.protein_coding	GTEx	eQTL	Prostate	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Prostate.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Skin_Not_Sun_Exposed_Suprapubic.all_gene	GTEx	eQTL	Skin_Not_Sun_Exposed_Suprapubic	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Skin_Not_Sun_Exposed_Suprapubic.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Skin_Not_Sun_Exposed_Suprapubic.protein_coding	GTEx	eQTL	Skin_Not_Sun_Exposed_Suprapubic	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Skin_Not_Sun_Exposed_Suprapubic.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Skin_Sun_Exposed_Lower_leg.all_gene	GTEx	eQTL	Skin_Sun_Exposed_Lower_leg	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Skin_Sun_Exposed_Lower_leg.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Skin_Sun_Exposed_Lower_leg.protein_coding	GTEx	eQTL	Skin_Sun_Exposed_Lower_leg	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Skin_Sun_Exposed_Lower_leg.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Small_Intestine_Terminal_Ileum.all_gene	GTEx	eQTL	Small_Intestine_Terminal_Ileum	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Small_Intestine_Terminal_Ileum.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Small_Intestine_Terminal_Ileum.protein_coding	GTEx	eQTL	Small_Intestine_Terminal_Ileum	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Small_Intestine_Terminal_Ileum.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Spleen.all_gene	GTEx	eQTL	Spleen	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Spleen.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Spleen.protein_coding	GTEx	eQTL	Spleen	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Spleen.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Stomach.all_gene	GTEx	eQTL	Stomach	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Stomach.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Stomach.protein_coding	GTEx	eQTL	Stomach	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Stomach.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Testis.all_gene	GTEx	eQTL	Testis	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Testis.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Testis.protein_coding	GTEx	eQTL	Testis	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Testis.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Thyroid.all_gene	GTEx	eQTL	Thyroid	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Thyroid.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Thyroid.protein_coding	GTEx	eQTL	Thyroid	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Thyroid.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Uterus.all_gene	GTEx	eQTL	Uterus	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Uterus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Uterus.protein_coding	GTEx	eQTL	Uterus	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Uterus.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Vagina.all_gene	GTEx	eQTL	Vagina	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Vagina.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Vagina.protein_coding	GTEx	eQTL	Vagina	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Vagina.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Whole_Blood.all_gene	GTEx	eQTL	Whole_Blood	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Whole_Blood.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Whole_Blood.protein_coding	GTEx	eQTL	Whole_Blood	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Whole_Blood.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
Zeng2024Science.Neuron	Zeng2024Science	caQTL	Neuron	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/Zeng2024Science/Zeng2024Science.Neuron.sig_caqtl.fine_mapped.feather
Zeng2024Science.Neuron.all_pair	Zeng2024Science	caQTL	Neuron	FALSE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/Zeng2024Science/Zeng2024Science.Neuron.all_caqtl.fine_mapped.feather
Zeng2024Science.Glia	Zeng2024Science	caQTL	Glia	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/Zeng2024Science/Zeng2024Science.Glia.sig_caqtl.fine_mapped.feather
Zeng2024Science.Neuron.all_pair	Zeng2024Science	caQTL	Glia	FALSE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/Zeng2024Science/Zeng2024Science.Glia.all_caqtl.fine_mapped.feather
GTEx.sigmoid_colon	GTEx_eqtl_catalog	eQTL	sigmoid_colon	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/sigmoid_colon.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(DLPFC)	GTEx_eqtl_catalog	eQTL	brain_(DLPFC)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(DLPFC).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(hypothalamus)	GTEx_eqtl_catalog	eQTL	brain_(hypothalamus)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(hypothalamus).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.adipose_(visceral)	GTEx_eqtl_catalog	eQTL	adipose_(visceral)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/adipose_(visceral).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.artery_(coronary)	GTEx_eqtl_catalog	eQTL	artery_(coronary)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/artery_(coronary).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(hippocampus)	GTEx_eqtl_catalog	eQTL	brain_(hippocampus)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(hippocampus).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(cerebellum)	GTEx_eqtl_catalog	eQTL	brain_(cerebellum)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(cerebellum).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.minor_salivary_gland	GTEx_eqtl_catalog	eQTL	minor_salivary_gland	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/minor_salivary_gland.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.small_intestine	GTEx_eqtl_catalog	eQTL	small_intestine	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/small_intestine.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.heart_(left_ventricle)	GTEx_eqtl_catalog	eQTL	heart_(left_ventricle)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/heart_(left_ventricle).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.heart_(atrial_appendage)	GTEx_eqtl_catalog	eQTL	heart_(atrial_appendage)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/heart_(atrial_appendage).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.esophagus_(mucosa)	GTEx_eqtl_catalog	eQTL	esophagus_(mucosa)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/esophagus_(mucosa).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(anterior_cingulate_cortex)	GTEx_eqtl_catalog	eQTL	brain_(anterior_cingulate_cortex)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(anterior_cingulate_cortex).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(putamen)	GTEx_eqtl_catalog	eQTL	brain_(putamen)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(putamen).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.pituitary	GTEx_eqtl_catalog	eQTL	pituitary	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/pituitary.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.vagina	GTEx_eqtl_catalog	eQTL	vagina	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/vagina.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.breast	GTEx_eqtl_catalog	eQTL	breast	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/breast.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(nucleus_accumbens)	GTEx_eqtl_catalog	eQTL	brain_(nucleus_accumbens)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(nucleus_accumbens).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(amygdala)	GTEx_eqtl_catalog	eQTL	brain_(amygdala)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(amygdala).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(caudate)	GTEx_eqtl_catalog	eQTL	brain_(caudate)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(caudate).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.artery_(aorta)	GTEx_eqtl_catalog	eQTL	artery_(aorta)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/artery_(aorta).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.testis	GTEx_eqtl_catalog	eQTL	testis	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/testis.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.skin	GTEx_eqtl_catalog	eQTL	skin	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/skin.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.blood	GTEx_eqtl_catalog	eQTL	blood	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/blood.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(spinal_cord)	GTEx_eqtl_catalog	eQTL	brain_(spinal_cord)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(spinal_cord).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.LCL	GTEx_eqtl_catalog	eQTL	LCL	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/LCL.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.pancreas	GTEx_eqtl_catalog	eQTL	pancreas	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/pancreas.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(cortex)	GTEx_eqtl_catalog	eQTL	brain_(cortex)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(cortex).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.ovary	GTEx_eqtl_catalog	eQTL	ovary	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/ovary.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.liver	GTEx_eqtl_catalog	eQTL	liver	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/liver.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.esophagus_(muscularis)	GTEx_eqtl_catalog	eQTL	esophagus_(muscularis)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/esophagus_(muscularis).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.tibial_nerve	GTEx_eqtl_catalog	eQTL	tibial_nerve	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/tibial_nerve.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.spleen	GTEx_eqtl_catalog	eQTL	spleen	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/spleen.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.adipose	GTEx_eqtl_catalog	eQTL	adipose	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/adipose.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.thyroid	GTEx_eqtl_catalog	eQTL	thyroid	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/thyroid.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.artery_(tibial)	GTEx_eqtl_catalog	eQTL	artery_(tibial)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/artery_(tibial).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.lung	GTEx_eqtl_catalog	eQTL	lung	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/lung.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.skin_(suprapubic)	GTEx_eqtl_catalog	eQTL	skin_(suprapubic)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/skin_(suprapubic).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.esophagus_(gej)	GTEx_eqtl_catalog	eQTL	esophagus_(gej)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/esophagus_(gej).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.uterus	GTEx_eqtl_catalog	eQTL	uterus	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/uterus.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.brain_(substantia_nigra)	GTEx_eqtl_catalog	eQTL	brain_(substantia_nigra)	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/brain_(substantia_nigra).BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.muscle	GTEx_eqtl_catalog	eQTL	muscle	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/muscle.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.transverse_colon	GTEx_eqtl_catalog	eQTL	transverse_colon	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/transverse_colon.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.fibroblast	GTEx_eqtl_catalog	eQTL	fibroblast	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/fibroblast.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.prostate	GTEx_eqtl_catalog	eQTL	prostate	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/prostate.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.adrenal_gland	GTEx_eqtl_catalog	eQTL	adrenal_gland	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/adrenal_gland.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.stomach	GTEx_eqtl_catalog	eQTL	stomach	TRUE	TRUE	all_gene	/large_storage/zhoulab/shengmao/sc-eQTL/borzoi_eqtl/GTEx_eQTL_catalog_borzoi_region/stomach.BorzoiGeneRegion.hg38.GTEx_eQTL_catalog.sig_pairs.fine_mapped.all_gene.snp_only.feather
