DatasetKey	Source	QTLType	TissueORCellType	SuSiEPIPFilter	PvalFilter	GeneSel	FilePath
GTEx.Brain_Caudate_basal_ganglia.all_gene	GTEx	eQTL	Brain_Caudate_basal_ganglia	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Caudate_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Caudate_basal_ganglia.protein_coding	GTEx	eQTL	Brain_Caudate_basal_ganglia	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Caudate_basal_ganglia.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Cerebellar_Hemisphere.all_gene	GTEx	eQTL	Brain_Cerebellar_Hemisphere	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cerebellar_Hemisphere.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Cerebellar_Hemisphere.protein_coding	GTEx	eQTL	Brain_Cerebellar_Hemisphere	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cerebellar_Hemisphere.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Cerebellum.all_gene	GTEx	eQTL	Brain_Cerebellum	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cerebellum.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Cerebellum.protein_coding	GTEx	eQTL	Brain_Cerebellum	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cerebellum.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Cortex.all_gene	GTEx	eQTL	Brain_Cortex	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cortex.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Cortex.protein_coding	GTEx	eQTL	Brain_Cortex	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Cortex.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
GTEx.Brain_Frontal_Cortex_BA9.all_gene	GTEx	eQTL	Brain_Frontal_Cortex_BA9	TRUE	TRUE	all_gene	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Frontal_Cortex_BA9.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.all_gene.snp_only.feather
GTEx.Brain_Frontal_Cortex_BA9.protein_coding	GTEx	eQTL	Brain_Frontal_Cortex_BA9	TRUE	TRUE	protein_coding	/large_storage/zhoulab/hanliu/wmb/GTEx/GTEx_v10_eQTL_borzoi_region/Brain_Frontal_Cortex_BA9.BorzoiGeneRegion.hg38.GTEx_v10_eQTL.sig_pairs.fine_mapped.protein_coding.snp_only.feather
